state,year,vsat,msat,wsat,pertake,rexppp
Kansas ,2010,590,595,567,6,11857.94901
Kentucky ,2010,575,575,563,6,11330.78803
Louisiana ,2010,555,550,547,7,12549.04694
Maine ,2010,468,467,454,92,15386.19838
Maryland ,2010,501,506,495,70,16311.5647
Massachusetts ,2010,512,526,509,86,15978.7837
Michigan ,2010,585,605,576,5,12734.36894
Minnesota ,2010,594,607,580,7,12411.52714
Mississippi ,2010,566,548,552,3,9467.35878
Missouri ,2010,593,595,580,4,11431.03813
Montana ,2010,538,538,517,24,12517.65448
Nebraska ,2010,585,593,568,4,13017.31189
Nevada ,2010,496,501,473,43,9685.553516
New Hampshire ,2010,520,524,510,77,14658.95123
New Jersey ,2010,495,514,497,76,19721.30992
New Mexico ,2010,553,549,534,11,10609.50198
New York ,2010,484,499,478,85,21802.48224
North Carolina ,2010,497,511,477,63,9752.071883
North Dakota ,2010,580,594,559,4,11986.24416
Ohio ,2010,538,548,522,21,13439.11364
Oklahoma ,2010,569,568,547,5,9294.556927
Oregon ,2010,523,524,499,54,11439.44241
Pennsylvania ,2010,492,501,480,71,14937.06407
Rhode Island ,2010,494,495,488,67,17737.61785
South Carolina ,2010,484,495,468,66,10796.47029
South Dakota ,2010,592,603,571,3,10573.68163
Tennessee ,2010,576,571,565,10,9620.318468
Texas ,2010,484,505,473,53,10404.89868
Utah ,2010,568,559,547,6,7509.445173
Vermont ,2010,519,521,506,66,18112.31721
Virginia ,2010,512,512,497,67,12429.92794
Washington ,2010,524,532,508,54,11184.07227
West Virginia ,2010,515,507,500,16,13517.23247
Wisconsin ,2010,595,604,579,4,13316.36035
Wyoming ,2010,570,567,546,5,18056.38809
Alabama ,2011,546,541,536,8,9951.463136
Alaska ,2011,515,511,487,52,19645.79305
Arizona ,2011,517,523,499,28,9255.188083
Arkansas ,2011,568,570,554,5,11060.1797
California ,2011,499,515,499,53,10213.19043
Colorado ,2011,570,573,556,19,10393.72705
Connecticut ,2011,509,513,513,87,18125.54797
Delaware ,2011,489,490,476,74,14161.04325
District of Columbia ,2011,469,457,459,79,22805.88829
Florida ,2011,487,489,471,64,10056.30613
Georgia ,2011,485,487,473,80,10252.18416
Hawaii ,2011,479,500,469,64,13491.59744
Idaho ,2011,542,539,517,20,7659.431955
Illinois ,2011,599,617,591,5,14109.33498
Indiana ,2011,493,501,475,68,10623.67478
Iowa ,2011,596,606,575,3,11310.13194
Kansas ,2011,580,591,563,7,11454.20028
Kentucky ,2011,576,572,563,6,11207.14261
Louisiana ,2011,555,550,546,8,12310.97237
Maine ,2011,469,469,453,93,15421.34193
Maryland ,2011,499,502,491,74,15925.12926
Massachusetts ,2011,513,527,509,89,16414.94668
Michigan ,2011,583,604,573,5,12375.06716
Minnesota ,2011,593,608,577,7,12169.74243
Mississippi ,2011,564,543,553,4,9030.586408
Missouri ,2011,592,593,579,5,11077.1791
Montana ,2011,539,537,516,26,12416.42051
Nebraska ,2011,585,591,569,5,13192.86401
Nevada ,2011,494,496,470,47,9672.284133
New Hampshire ,2011,523,525,511,77,14948.27515
New Jersey ,2011,495,516,497,78,18899.16575
New Mexico ,2011,548,541,529,12,10015.78641
New York ,2011,485,499,476,89,21963.38378
North Carolina ,2011,493,508,474,67,9573.620733
North Dakota ,2011,586,612,561,3,12157.04399
Ohio ,2011,539,545,522,21,13364.10504
Oklahoma ,2011,571,565,547,6,8740.866582
Oregon ,2011,520,521,499,56,11237.24772
Pennsylvania ,2011,493,501,479,73,15064.42959
Rhode Island ,2011,495,493,489,68,17498.35551
South Carolina ,2011,482,490,464,70,10421.70979
South Dakota ,2011,584,591,562,4,10095.84697
Tennessee ,2011,575,568,567,10,9790.486807
Texas ,2011,479,502,465,58,10082.62573
Utah ,2011,563,559,545,6,7333.929069
Vermont ,2011,515,518,505,67,17835.54462
Virginia ,2011,512,509,495,71,11907.40844
Washington ,2011,523,529,508,57,11135.93768
West Virginia ,2011,514,501,497,17,13386.5042
Wisconsin ,2011,590,602,575,5,13397.96015
Wyoming ,2011,572,569,551,5,18334.14002
